year,quarter,sold_price_ind,date,mspus,msptfc,constr_price_ind,cpi,ffr,fmr_1,sold_corrected,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,real_ffr
1995,1,63.71,1995-01-01,130000,120500,67,150.5,5.53,275.7097242380261,2040.4959974886203,1940.2985074626865,1891.382828441375,1798.5074626865671,4.115070511015316,0.03674418604651163
1995,2,64.19,1995-04-01,133900,130000,67,151.8,6.05,275.7097242380261,2085.9947032248015,1998.5074626865671,2025.2375759464092,1940.2985074626865,4.115070511015316,0.03985507246376811
1995,3,64.68,1995-07-01,132000,124600,67.2,152.6,5.85,275.7097242380261,2040.816326530612,1964.2857142857142,1926.4069264069262,1854.1666666666665,4.102823277351579,0.038335517693315856
1995,4,63.6,1995-10-01,138000,130300,67.7,153.5,5.76,275.7097242380261,2169.811320754717,2038.4047267355982,2048.7421383647797,1924.6676514032495,4.072521776041745,0.037524429967426706
1996,1,65.93,1996-01-01,137000,147000,67.9,154.7,5.56,313.1509433962264,2077.9614742909143,2017.6730486008835,2229.637494312149,2164.9484536082473,4.611943201711728,0.035940530058177114
1996,2,65.67,1996-04-01,139900,130000,67.7,156.1,5.22,313.1509433962264,2130.3487132632863,2066.469719350074,1979.5949444190649,1920.2363367799112,4.625567849279562,0.03344010249839846
1996,3,67.11,1996-07-01,140000,135000,68.8,157,5.4,313.1509433962264,2086.1272537624795,2034.8837209302326,2011.6227089852482,1962.2093023255816,4.551612549363756,0.034394904458598725
1996,4,65.63,1996-10-01,144100,146400,69.2,158.2,5.24,313.1509433962264,2195.6422367819596,2082.3699421965316,2230.68718573823,2115.606936416185,4.525302650234486,0.033122629582806574
1997,1,66.6,1997-01-01,145000,138000,69.8,159.4,5.25,320.0587808417997,2177.1771771771773,2077.3638968481378,2072.0720720720724,1977.0773638968483,4.58536935303438,0.032936010037641156
1997,2,67.77,1997-04-01,145800,142000,70,159.9,5.51,320.0587808417997,2151.394422310757,2082.8571428571427,2095.3224140475136,2028.5714285714287,4.5722682977399955,0.034459036898061284
1997,3,67.54,1997-07-01,145000,145900,70.6,160.4,5.52,320.0587808417997,2146.875925377554,2053.8243626062326,2160.2013621557594,2066.5722379603403,4.533410493509911,0.03441396508728179
1997,4,67.1,1997-10-01,144200,143500,71.4,161.5,5.5,320.0587808417997,2149.0312965722806,2019.6078431372548,2138.599105812221,2009.8039215686274,4.482615978176466,0.034055727554179564
1998,1,68.8,1998-01-01,152200,146000,71.6,162,5.56,326.3417997097242,2212.2093023255816,2125.6983240223467,2122.093023255814,2039.1061452513968,4.5578463646609535,0.034320987654320984
1998,2,68.21,1998-04-01,149500,140000,71.7,162.2,5.45,326.3417997097242,2191.7607388945903,2085.076708507671,2052.484972877877,1952.5801952580196,4.551489535700477,0.03360049321824908
1998,3,69.37,1998-07-01,153000,165000,72.7,163.2,5.54,326.3417997097242,2205.564364999279,2104.539202200825,2378.5498053913793,2269.6011004126544,4.488883077162644,0.03394607843137255
1998,4,70.1,1998-10-01,153000,144000,73,163.9,5.07,326.3417997097242,2182.596291012839,2095.890410958904,2054.208273894437,1972.6027397260275,4.4704356124619755,0.030933496034167177
1999,1,71.12,1999-01-01,157400,148900,71.3,164.7,4.63,331.6255442670537,2213.160854893138,2207.5736325385697,2093.644544431946,2088.35904628331,4.651129653114358,0.028111718275652703
1999,2,72.7,1999-04-01,158700,153500,72,165.9,4.74,331.6255442670537,2182.943603851444,2204.1666666666665,2111.416781292985,2131.9444444444443,4.605910337042413,0.02857142857142857
