fips,year,total_units
01001,2000,142
01001,2001,NA
01001,2002,545
01001,2003,566
01001,2004,625
01001,2005,626
01001,2006,668
01001,2007,520
01001,2008,187
01001,2009,204
01001,2010,382
01001,2011,212
01001,2012,290
01001,2013,240
01001,2014,262
01001,2015,316
01001,2016,338
01001,2017,376
01001,2018,370
01001,2019,484
01001,2020,664
01001,2021,554
01001,2022,420
01001,2023,520
01001,2024,384
01003,2022,6206
01003,2023,6353
01003,2024,4008
01005,2022,40
01005,2023,128
01005,2024,58
01007,2004,4
01007,2005,6
01007,2006,13
01007,2007,21
01007,2008,102
01007,2009,17
01007,2010,15
01007,2011,16
01007,2012,17
01007,2013,22
01007,2014,19
01007,2015,29
01007,2016,12
01007,2017,12
01007,2018,17
01007,2019,25
01007,2020,73
01007,2021,22
01007,2022,18
01007,2023,8
01007,2024,4
01009,2004,156
01009,2005,98
01009,2006,179
01009,2007,72
01009,2008,41
01009,2009,26
01009,2010,36
01009,2011,4
01009,2012,12
01009,2013,8
01009,2014,6
01009,2015,98
01009,2016,32
01009,2017,33
01009,2018,26
01009,2019,49
01009,2020,45
01009,2021,46
01009,2022,32
01009,2023,31
01009,2024,11
01011,2022,0
01011,2023,0
01011,2024,0
01013,2022,3
01013,2023,0
01013,2024,8
01015,2022,139
01015,2023,107
01015,2024,166
01017,2022,30
01017,2023,35
01017,2024,41
01019,2022,92
01019,2023,18
01019,2024,16
01021,2004,102
01021,2005,267
01021,2006,259
01021,2007,137
01021,2008,64
01021,2009,38
01021,2010,35
01021,2011,31
01021,2012,32
01021,2013,39
01021,2014,153
01021,2015,38
01021,2016,46
01021,2017,87
01021,2018,184
01021,2019,55
01021,2020,82
01021,2021,296
01021,2022,298
01021,2023,59
01021,2024,38
01023,2022,0
01023,2023,0
01023,2024,0
01025,2022,3
01025,2023,1
01025,2024,4
01027,2022,4
01027,2023,15
01027,2024,6
01029,2022,0
01029,2023,2
01029,2024,3
01031,2022,221
01031,2023,207
01031,2024,170
01033,2022,186
01033,2023,125
01033,2024,108
01035,2022,2
01035,2023,4
01035,2024,1
01037,2004,0
01037,2005,88
01037,2006,10
01037,2007,0
01037,2008,0
01037,2009,0
01037,2010,0
01037,2011,0
01037,2012,0
01037,2013,0
01037,2014,0
01037,2022,0
01037,2023,0
01037,2024,0
01039,2022,8
01039,2023,12
01039,2024,12
01041,2022,2
01041,2023,0
01041,2024,3
01043,2022,576
01043,2023,391
01043,2024,233
01045,2022,64
01045,2023,94
01045,2024,57
01047,2022,24
01047,2023,16
01047,2024,5
01049,2022,116
01049,2023,197
01049,2024,65
01051,2022,178
01051,2023,166
01051,2024,88
01053,2022,13
01053,2023,21
01053,2024,14
01055,2022,212
01055,2023,194
01055,2024,161
01057,2022,0
01057,2023,0
01057,2024,0
01059,2022,15
01059,2023,12
01059,2024,10
01061,2022,34
01061,2023,32
01061,2024,26
01063,2022,10
01063,2023,13
01063,2024,3
01065,2022,224
01065,2023,52
01065,2024,16
01067,2022,52
01067,2023,56
01067,2024,60
01069,2022,677
01069,2023,551
01069,2024,483
01071,2022,47
01071,2023,42
01071,2024,31
01073,2004,8076
01073,2005,7210
01073,2006,6782
01073,2007,5001
01073,2008,4039
01073,2009,1964
01073,2010,1444
01073,2011,2985
01073,2012,4481
01073,2013,2907
01073,2014,4553
01073,2015,4846
01073,2016,3457
01073,2017,3043
01073,2018,3052
01073,2019,2611
01073,2020,3149
01073,2021,3112
01073,2022,4980
01073,2023,3288
01073,2024,2744
01075,2021,0
01075,2022,0
01075,2023,0
01075,2024,0
01077,2022,338
01077,2023,218
01077,2024,264
01079,2022,9
01079,2023,9
01079,2024,5
01081,2000,1148
01081,2001,1926
01081,2002,2598
01081,2003,1461
01081,2004,2335
01081,2005,3060
01081,2006,4408
01081,2007,2995
01081,2008,1668
01081,2009,2235
01081,2010,1942
01081,2011,1044
01081,2012,1412
01081,2013,1236
01081,2014,1518
01081,2017,1650
01081,2018,1749
01081,2019,3021
01081,2020,4116
01081,2021,3379
01081,2022,3220
01081,2023,2109
01081,2024,1863
01083,2015,205
01083,2016,229
01083,2017,319
01083,2018,304
01083,2019,556
01083,2020,969
01083,2021,1191
01083,2022,1608
01083,2023,977
01083,2024,722
01085,2022,0
01085,2023,0
01085,2024,0
01087,2004,26
01087,2022,9
01087,2023,3
01087,2024,3
01089,2015,4905
01089,2016,5710
01089,2017,5571
01089,2018,5511
01089,2019,6152
01089,2020,6346
01089,2021,5931
01089,2022,4854
01089,2023,9353
01089,2024,5592
01091,2022,0
01091,2023,0
01091,2024,0
01093,2022,92
01093,2023,2
01093,2024,0
01095,2022,276
01095,2023,228
01095,2024,221
01097,2022,1331
01097,2023,1751
01097,2024,2032
01099,2022,0
01099,2023,5
01099,2024,26
01101,2022,836
01101,2023,831
01101,2024,549
01103,2022,513
01103,2023,595
01103,2024,309
01105,2022,0
01105,2023,0
01105,2024,0
01107,2022,7
01107,2023,4
01107,2024,2
01109,2022,116
01109,2023,110
01109,2024,68
01111,2022,0
01111,2023,0
01111,2024,0
01113,2000,716
01113,2001,544
01113,2002,478
01113,2003,588
01113,2004,900
01113,2015,929
01113,2016,253
01113,2017,452
01113,2018,522
01113,2019,299
01113,2020,427
01113,2021,372
01113,2022,648
01113,2023,331
01113,2024,247
01115,2004,887
01115,2005,1509
01115,2006,1243
01115,2007,653
01115,2008,277
01115,2009,306
01115,2010,219
01115,2011,182
01115,2012,157
01115,2013,284
01115,2014,117
01115,2015,260
01115,2016,269
01115,2017,277
01115,2018,356
01115,2019,427
01115,2020,586
01115,2021,588
01115,2022,702
01115,2023,700
01115,2024,645
01117,2004,4388
01117,2005,3707
01117,2006,3470
01117,2007,3070
01117,2008,1220
01117,2009,966
01117,2010,777
01117,2011,639
01117,2012,781
01117,2013,1257
01117,2014,1266
01117,2015,1389
01117,2016,1571
01117,2017,1577
01117,2018,1441
01117,2019,1424
01117,2020,2277
01117,2021,2189
01117,2022,1738
01117,2023,2044
01117,2024,1213
01119,2022,3
01119,2023,2
01119,2024,2
01121,2022,241
01121,2023,338
01121,2024,212
01123,2004,87
01123,2022,275
01123,2023,241
01123,2024,242
01125,2000,1118
01125,2004,2358
01125,2022,1591
01125,2023,1077
01125,2024,620
01127,2004,222
01127,2005,105
01127,2006,102
01127,2007,171
01127,2008,57
01127,2009,30
01127,2010,26
01127,2011,22
01127,2012,19
01127,2013,20
01127,2014,14
01127,2015,27
01127,2016,16
01127,2017,18
01127,2018,5
01127,2019,59
01127,2020,101
01127,2021,76
01127,2022,108
01127,2023,120
01127,2024,48
01129,2022,1
01129,2023,0
01129,2024,0
01131,2022,0
01131,2023,1
01131,2024,2
01133,2022,3
01133,2023,0
01133,2024,1
02000,2000,NA
02000,2001,NA
02000,2002,NA
02000,2003,166
02000,2004,220
02000,2005,234
02000,2006,203
02000,2007,232
02000,2008,91
02000,2009,53
02000,2010,67
02000,2011,56
02000,2012,62
02000,2013,35
02000,2014,4
02013,2000,1
02013,2001,NA
02013,2002,2
02013,2003,7
02013,2004,6
02013,2005,1
02013,2006,0
02013,2007,10
02013,2008,0
02013,2009,0
02013,2010,0
02013,2011,0
02013,2012,0
02013,2013,0
02013,2014,0
02013,2015,4
02013,2016,0
02013,2017,0
02013,2018,4
02013,2019,0
02013,2020,0
02013,2021,2
02013,2022,0
02013,2023,0
02013,2024,0
02016,2000,68
02016,2001,NA
02016,2002,NA
02016,2003,12
02016,2004,13
02016,2005,8
02016,2006,9
02016,2007,6
02016,2008,4
02016,2009,2
02016,2010,14
02016,2011,1
02016,2012,1
02016,2013,2
02016,2014,1
02016,2015,3
02016,2016,4
02016,2017,6
02016,2018,7
02016,2019,5
02016,2020,3
02016,2021,6
02016,2022,3
02016,2023,0
02016,2024,0
02020,2000,2384
02020,2001,3894
02020,2002,3976
02020,2003,4774
02020,2004,3598
02020,2005,2997
02020,2006,2866
02020,2007,1638
02020,2008,718
02020,2009,982
02020,2010,903
02020,2011,894
02020,2012,1031
02020,2013,2132
02020,2014,1440
02020,2015,1666
02020,2016,1782
02020,2017,1079
02020,2018,1083
02020,2019,1059
02020,2020,1053
02020,2021,1133
02020,2022,963
02020,2023,283
02020,2024,166
02050,2000,100
02050,2001,44
02050,2002,NA
02050,2003,111
02050,2004,138
02050,2005,129
02050,2006,44
02050,2007,33
02050,2008,14
02050,2009,4
02050,2010,14
02050,2011,14
02050,2012,4
02050,2013,12
02050,2014,22
02050,2015,20
02050,2016,16
02050,2017,30
02050,2018,2
02050,2019,18
02050,2020,30
02050,2021,23
02050,2022,29
02050,2023,50
02050,2024,280
02060,2000,0
02060,2001,NA
02060,2002,NA
02060,2003,0
02060,2004,0
02060,2005,6
02060,2006,26
02060,2007,6
02060,2008,10
02060,2009,3
02060,2010,2
02060,2011,0
02060,2012,0
02060,2013,4
02060,2014,4
02060,2015,6
02060,2016,4
02060,2017,0
02060,2018,4
02060,2019,12
02060,2020,5
02060,2021,4
02060,2022,0
02060,2023,3
02060,2024,2
02063,2023,14
02063,2024,9
02070,2013,6
02070,2014,8
02070,2015,2
02070,2016,2
02070,2017,8
02070,2018,3
02070,2019,2
02070,2020,2
02070,2021,0
02070,2022,0
02070,2023,0
02070,2024,0
02090,2000,232
02090,2001,331
02090,2002,NA
02090,2003,490
02090,2004,560
02090,2005,367
02090,2006,681
02090,2007,189
02090,2008,67
02090,2009,37
02090,2010,46
02090,2011,44
02090,2012,47
02090,2013,57
02090,2014,54
02090,2015,14
02090,2016,23
02090,2017,14
02090,2018,27
02090,2019,45
02090,2020,38
02090,2021,72
02090,2022,45
02090,2023,98
02090,2024,9
02100,2000,4
02100,2001,30
02100,2002,14
02100,2003,9
02100,2004,8
02100,2005,5
02100,2006,26
02100,2007,28
02100,2008,9
02100,2009,24
02100,2010,9
02100,2011,3
02100,2012,3
02100,2013,14
02100,2014,12
02100,2015,14
02100,2016,12
02100,2017,9
02100,2018,12
02100,2019,10
02100,2020,5
02100,2021,17
02100,2022,8
02100,2023,20
02100,2024,7
02105,2013,1
02105,2014,11
02105,2015,2
02105,2016,6
02105,2017,0
02105,2018,2
02105,2019,8
02105,2020,42
02105,2021,4
02105,2022,8
02105,2023,10
02105,2024,2
02110,2000,120
02110,2001,NA
02110,2002,234
02110,2003,238
02110,2004,244
02110,2005,250
02110,2006,230
02110,2007,142
02110,2008,34
02110,2009,51
02110,2010,99
02110,2011,80
02110,2012,114
02110,2013,476
02110,2014,816
02110,2015,376
02110,2016,606
02110,2017,132
02110,2018,136
02110,2019,348
02110,2020,92
02110,2021,124
02110,2022,123
02110,2023,312
02110,2024,54
02122,2000,162
02122,2001,158
02122,2002,184
02122,2003,252
02122,2004,199
02122,2005,234
02122,2006,285
02122,2007,238
02122,2008,134
02122,2009,163
02122,2010,174
02122,2011,102
02122,2012,139
02122,2013,158
02122,2014,150
02122,2015,157
02122,2016,162
02122,2017,194
02122,2018,183
02122,2019,202
02122,2020,147
02122,2021,179
02122,2022,230
02122,2023,184
02122,2024,163
02130,2000,NA
02130,2001,NA
02130,2002,NA
02130,2003,48
02130,2004,44
02130,2005,57
02130,2006,70
02130,2007,88
02130,2008,90
02130,2009,40
02130,2010,32
02130,2011,35
02130,2012,46
02130,2013,61
02130,2014,68
02130,2015,48
02130,2016,76
02130,2017,60
02130,2018,94
02130,2019,94
02130,2020,86
02130,2021,48
02130,2022,45
02130,2023,31
02130,2024,31
02150,2000,78
02150,2001,NA
02150,2002,NA
02150,2003,145
02150,2004,147
02150,2005,118
02150,2006,76
02150,2007,48
02150,2008,40
02150,2009,38
02150,2010,34
02150,2011,26
02150,2012,38
02150,2013,34
02150,2014,24
02150,2015,44
02150,2016,36
02150,2017,96
02150,2018,107
02150,2019,60
02150,2020,38
02150,2021,16
02150,2022,22
02150,2023,24
02150,2024,20
02158,2016,0
02158,2017,0
02158,2018,0
02158,2019,0
02158,2022,0
02170,2000,240
02170,2001,360
02170,2002,414
02170,2003,320
02170,2004,502
02170,2005,399
02170,2006,400
02170,2007,251
02170,2008,98
02170,2009,102
02170,2010,87
02170,2011,128
02170,2012,83
02170,2013,66
02170,2014,200
02170,2015,141
02170,2016,247
02170,2017,253
02170,2018,350
02170,2019,208
02170,2020,129
02170,2021,94
02170,2022,115
02170,2023,264
02170,2024,82
02180,2000,NA
02180,2001,NA
02180,2002,NA
02180,2003,3
02180,2004,10
02180,2005,4
02180,2006,11
02180,2007,17
02180,2008,9
02180,2009,8
02180,2010,2
02180,2011,4
02180,2012,88
02180,2013,22
02180,2014,21
02180,2015,8
02180,2016,15
02180,2017,8
02180,2018,2
02180,2019,0
02180,2020,10
02180,2021,13
02180,2022,7
02180,2023,1
02180,2024,2
02185,2000,2
02185,2001,NA
02185,2002,NA
02185,2003,33
02185,2004,18
02185,2005,13
02185,2006,6
02185,2007,7
02185,2008,6
02185,2009,15
02185,2010,22
02185,2011,52
02185,2012,88
02185,2013,46
02185,2014,27
02185,2015,12
02185,2016,12
02185,2017,11
02185,2018,9
02185,2019,1
02185,2020,4
02185,2021,26
02185,2022,17
02185,2023,7
02185,2024,8
02188,2003,0
02188,2004,0
02188,2005,0
02188,2006,0
02188,2007,0
02188,2008,0
02188,2009,2
02188,2010,1
02188,2011,2
02188,2012,3
02188,2013,1
02188,2014,7
02188,2015,15
02188,2016,6
02188,2017,13
02188,2018,9
02188,2019,15
02188,2020,17
02188,2021,12
02188,2022,9
02188,2023,5
02188,2024,3
02195,2013,11
02195,2014,22
02195,2015,18
02195,2016,25
02195,2017,21
02195,2018,10
02195,2019,22
02195,2020,11
02195,2021,31
02195,2022,15
02195,2023,2
02195,2024,3
02198,2013,7
02198,2014,2
02198,2015,4
02198,2016,10
02198,2017,22
02198,2018,8
02198,2019,15
02198,2020,0
02198,2021,0
02198,2022,0
02198,2023,4
02198,2024,1
02201,2000,0
02201,2001,NA
02201,2002,NA
02201,2003,0
02201,2004,14
02201,2005,7
02201,2006,11
02201,2007,23
02201,2008,6
02201,2009,13
02201,2010,9
02201,2011,3
02201,2012,0
02220,2000,NA
02220,2001,NA
02220,2002,NA
02220,2003,61
02220,2004,78
02220,2005,52
02220,2006,52
02220,2007,33
02220,2008,23
02220,2009,11
02220,2010,13
02220,2011,13
02220,2012,15
02220,2013,42
02220,2014,28
02220,2015,40
02220,2016,40
02220,2017,23
02220,2018,21
02220,2019,12
02220,2020,11
02220,2021,14
02220,2022,13
02220,2023,10
02220,2024,8
02230,2013,21
02230,2014,5
02230,2015,9
02230,2016,23
02230,2017,9
02230,2018,7
02230,2019,17
02230,2020,9
02230,2021,11
02230,2022,2
02230,2023,2
02230,2024,10
02232,2000,53
02232,2001,13
02232,2002,31
02232,2003,46
02232,2004,17
02232,2005,26
02232,2006,20
02232,2007,4
02232,2008,8
02232,2009,5
02232,2010,8
02232,2011,4
02232,2012,39
02261,2000,47
02261,2001,40
02261,2002,29
02261,2003,30
02261,2004,41
02261,2005,50
02261,2006,24
02261,2007,64
02261,2008,66
02261,2009,32
02261,2010,38
02261,2011,26
02261,2012,12
02261,2013,28
02261,2014,6
02261,2015,14
02261,2016,24
02261,2017,41
02261,2018,30
02261,2019,26
02261,2020,19
02261,2021,22
02261,2022,19
02270,2013,0
02270,2014,0
02270,2015,0
02275,2013,5
02275,2014,11
02275,2015,10
02275,2016,14
02275,2017,6
02275,2018,16
02275,2019,6
02275,2020,6
02275,2021,5
02275,2022,4
02275,2023,3
02275,2024,3
02280,2000,16
02280,2001,44
02280,2002,NA
02280,2003,25
02280,2004,30
02280,2005,19
02280,2006,26
02280,2007,24
02280,2008,16
02280,2009,12
02280,2010,8
02280,2011,27
02280,2012,15
02282,2000,NA
02282,2001,NA
02282,2002,NA
02282,2003,4
02282,2004,6
02282,2005,4
02282,2006,3
02282,2007,2
02282,2008,2
02282,2009,4
02282,2010,3
02282,2011,2
02282,2012,2
02282,2013,0
02282,2014,8
02282,2015,0
02282,2016,4
02282,2017,4
02282,2018,27
02282,2019,5
02282,2020,7
02282,2021,5
02282,2022,8
02282,2023,5
02282,2024,3
02290,2003,0
02290,2004,0
02290,2005,0
02290,2006,0
02290,2007,0
02290,2008,0
02290,2009,0
02290,2010,0
02290,2011,0
02290,2012,0
02290,2013,0
02290,2014,0
02290,2015,0
02290,2016,0
02290,2017,0
02290,2018,0
02290,2019,0
02290,2020,4
02290,2021,0
02290,2022,1
02290,2023,0
02290,2024,0
04001,2022,254
04001,2023,192
04001,2024,123
04003,2022,807
04003,2023,922
04003,2024,613
04005,2022,1475
04005,2023,2229
04005,2024,808
04007,2022,418
04007,2023,297
04007,2024,259
04009,2022,258
04009,2023,348
04009,2024,190
04011,2022,20
04011,2023,13
04011,2024,10
04012,2022,64
04012,2023,78
04012,2024,127
04013,2000,79004
04013,2001,73475
04013,2002,80446
04013,2003,88270
04013,2004,107052
04013,2005,100654
04013,2006,69921
04013,2007,58334
04013,2008,28452
04013,2009,14369
04013,2010,12777
04013,2011,16626
04013,2012,26154
04013,2013,29654
04013,2014,37477
04013,2015,42076
04013,2016,50478
04013,2017,51379
04013,2018,52186
04013,2019,58725
04013,2020,77766
04013,2021,84787
04013,2022,78584
04013,2023,72367
04013,2024,47737
04015,2000,3540
04015,2001,3465
04015,2002,5078
04015,2003,5674
04015,2004,6614
04015,2022,4013
04015,2023,3859
04015,2024,3388
04017,2022,879
04017,2023,572
04017,2024,579
04019,2004,18049
04019,2005,20232
04019,2006,13055
04019,2007,8564
04019,2008,5653
04019,2009,3054
04019,2010,3252
04019,2011,2925
04019,2012,3868
04019,2013,5018
04019,2014,4292
04019,2015,4712
04019,2016,3843
04019,2017,3801
04019,2018,5455
04019,2019,6032
04019,2020,8321
04019,2021,10051
04019,2022,9253
04019,2023,8771
04019,2024,6359
04021,2000,4464
04021,2001,6243
04021,2002,8410
04021,2003,12421
04021,2004,15306
04021,2005,12641
04021,2006,13062
04021,2007,11254
04021,2008,6012
04021,2009,4337
04021,2010,3168
04021,2011,1910
04021,2012,3651
04021,2013,3657
04021,2014,3394
04021,2015,4005
04021,2016,4592
04021,2017,6903
04021,2018,9036
04021,2019,8826
04021,2020,11455
04021,2021,13564
04021,2022,11181
04021,2023,12791
04021,2024,12168
04023,2004,1022
04023,2022,645
04023,2023,625
04023,2024,418
04025,2022,4510
04025,2023,3000
04025,2024,2490
04027,2022,1660
04027,2023,1694
04027,2024,1944
05001,2022,22
05001,2023,15
05001,2024,12
05003,2022,0
05003,2023,0
05003,2024,0
05005,2022,80
05005,2023,120
05005,2024,50
05007,2022,8887
05007,2023,8331
05007,2024,5050
05009,2022,39
05009,2023,53
05009,2024,215
05011,2022,1
05011,2023,4
05011,2024,0
05013,2015,0
05013,2016,0
05013,2017,0
05013,2018,0
05013,2019,0
05013,2020,0
05013,2021,0
05013,2022,1
05013,2023,0
05013,2024,0
05015,2022,30
05015,2023,52
05015,2024,31
05017,2022,0
05017,2023,0
05017,2024,5
05019,2022,11
05019,2023,10
05019,2024,20
05021,2022,29
05021,2023,10
05021,2024,6
05023,2000,NA
05023,2001,NA
05023,2002,NA
05023,2003,94
05023,2004,120
05023,2005,126
05023,2006,72
05023,2007,68
05023,2008,158
05023,2009,36
05023,2010,34
05023,2011,31
05023,2012,29
05023,2013,27
05023,2014,52
05023,2022,39
05023,2023,24
05023,2024,9
05025,2004,1
05025,2005,0
05025,2006,6
05025,2007,2
05025,2008,0
05025,2009,2
05025,2010,0
05025,2011,0
05025,2012,0
05025,2013,0
05025,2014,0
05025,2022,0
05025,2023,0
05025,2024,0
05027,2004,52
05027,2005,11
05027,2006,18
05027,2007,17
05027,2008,15
05027,2009,10
05027,2010,12
05027,2011,9
05027,2012,19
05027,2013,13
05027,2014,93
05027,2022,6
05027,2023,22
05027,2024,9
05029,2022,15
05029,2023,18
05029,2024,11
05031,2022,1201
05031,2023,1017
05031,2024,733
05033,2022,237
05033,2023,300
05033,2024,55
05035,2000,790
05035,2001,238
05035,2002,470
05035,2003,654
05035,2004,592
05035,2005,835
05035,2006,614
05035,2007,975
05035,2008,305
05035,2009,111
05035,2010,85
05035,2011,84
05035,2012,140
05035,2013,225
05035,2014,196
05035,2015,115
05035,2016,132
05035,2017,104
05035,2018,98
05035,2019,101
05035,2020,137
05035,2021,127
05035,2022,143
05035,2023,92
05035,2024,80
05037,2022,20
05037,2023,20
05037,2024,11
05039,2022,0
05039,2023,0
05039,2024,0
05041,2022,0
05041,2023,2
05041,2024,3
05043,2000,140
05043,2001,142
05043,2002,42
05043,2003,52
05043,2004,74
05043,2018,6
05043,2019,24
05043,2020,15
05043,2021,2
05043,2022,16
05043,2023,17
05043,2024,11
05045,2015,412
05045,2016,636
05045,2017,567
05045,2018,487
05045,2019,513
05045,2020,543
05045,2021,1363
05045,2022,1348
05045,2023,1167
05045,2024,977
05047,2022,8
05047,2023,20
05047,2024,16
05049,2022,0
05049,2023,0
05049,2024,0
05051,2022,198
05051,2023,152
05051,2024,168
05053,2015,11
05053,2016,11
05053,2017,14
05053,2018,21
05053,2019,27
05053,2020,34
05053,2021,35
05053,2022,30
05053,2023,29
05053,2024,19
05055,2000,399
05055,2001,337
05055,2002,351
05055,2003,390
05055,2004,370
05055,2022,536
05055,2023,239
05055,2024,424
05057,2022,0
05057,2023,0
05057,2024,1
05059,2004,2
05059,2005,6
05059,2006,4
05059,2007,30
05059,2008,16
05059,2009,4
05059,2010,4
05059,2011,0
05059,2012,2
05059,2013,4
05059,2014,0
05059,2022,20
05059,2023,12
05059,2024,6
05061,2000,32
05061,2001,22
05061,2002,17
05061,2003,13
05061,2004,18
05061,2005,20
05061,2006,17
05061,2007,16
05061,2008,7
05061,2009,7
05061,2010,20
05061,2011,6
05061,2012,6
05061,2013,16
05061,2014,6
05061,2022,0
05061,2023,3
05061,2024,1
05063,2004,26
05063,2022,48
05063,2023,12
05063,2024,11
05065,2022,10
05065,2023,8
05065,2024,13
05067,2022,7
05067,2023,15
05067,2024,12
05069,2022,111
05069,2023,179
05069,2024,74
05071,2000,NA
05071,2001,NA
05071,2002,NA
05071,2003,63
05071,2004,74
05071,2022,46
05071,2023,14
05071,2024,6
05073,2022,1
05073,2023,0
05073,2024,0
05075,2022,73
05075,2023,57
05075,2024,48
05077,2022,0
05077,2023,0
05077,2024,0
05079,2022,3
05079,2023,3
05079,2024,3
05081,2022,0
05081,2023,7
05081,2024,3
05083,2022,6
05083,2023,9
05083,2024,7
05085,2015,474
05085,2016,437
05085,2017,455
05085,2018,500
05085,2019,522
05085,2020,611
05085,2021,588
05085,2022,431
05085,2023,368
05085,2024,202
05087,2015,0
05087,2016,26
05087,2017,9
05087,2018,10
05087,2019,24
05087,2020,102
05087,2021,152
05087,2022,50
05087,2023,41
05087,2024,36
05089,2022,393
05089,2023,398
05089,2024,335
05091,2013,76
05091,2014,71
05091,2015,60
05091,2016,42
05091,2017,51
05091,2018,34
05091,2019,30
05091,2020,47
05091,2021,34
05091,2022,58
05091,2023,72
05091,2024,38
05093,2022,48
05093,2023,50
05093,2024,42
05095,2022,2
05095,2023,1
05095,2024,0
05099,2004,322
05099,2005,342
05099,2006,201
05099,2007,8
05099,2008,4
05099,2009,0
05099,2010,2
05099,2011,4
05099,2012,1
05099,2013,0
05099,2014,0
05099,2022,0
05099,2023,0
05099,2024,0
05101,2022,1
05101,2023,0
05101,2024,0
05103,2022,3
05103,2023,4
05103,2024,12
05105,2004,2
05105,2015,4
05105,2016,4
05105,2017,14
05105,2018,4
05105,2019,1
05105,2020,2
05105,2021,1
05105,2022,2
05105,2023,3
05105,2024,0
05107,2022,11
05107,2023,0
05107,2024,1
05111,2022,87
05111,2023,115
05111,2024,77
05113,2022,3
05113,2023,2
05113,2024,2
05115,2022,128
05115,2023,100
05115,2024,72
05117,2022,3
05117,2023,7
05117,2024,0
05119,2015,2417
05119,2016,2564
05119,2017,3967
05119,2018,1849
05119,2019,3726
05119,2020,2632
05119,2021,3839
05119,2022,2949
05119,2023,2786
05119,2024,1258
05121,2022,34
05121,2023,21
05121,2024,0
05123,2022,2
05123,2023,8
05123,2024,5
05125,2022,870
05125,2023,582
05125,2024,583
05127,2022,0
05127,2023,0
05127,2024,0
05129,2015,2
05129,2016,0
05129,2017,0
05129,2018,0
05129,2019,0
05129,2020,0
05129,2021,0
05129,2022,0
05129,2023,0
05129,2024,0
05131,2022,949
05131,2023,814
05131,2024,540
05133,2022,7
05133,2023,5
05133,2024,5
05135,2022,4
05135,2023,6
05135,2024,4
05137,2022,8
05137,2023,2
05137,2024,1
05139,2022,17
05139,2023,19
05139,2024,15
05141,2022,11
05141,2023,14
05141,2024,29
05143,2015,2257
05143,2016,2850
05143,2017,2447
05143,2018,2872
05143,2019,5868
05143,2020,4395
05143,2021,5026
05143,2022,3830
05143,2023,3737
05143,2024,3734
05145,2022,1261
05145,2023,342
05145,2024,295
05147,2022,1
05147,2023,0
05147,2024,0
05149,2022,25
05149,2023,40
05149,2024,16
06001,2000,7745
06001,2001,5746
06001,2002,7121
06001,2003,8153
06001,2004,10376
06001,2005,8394
06001,2006,9750
06001,2007,5382
06001,2008,3097
06001,2009,2633
06001,2010,3441
06001,2011,4118
06001,2012,4778
06001,2013,4766
06001,2014,5673
06001,2015,8386
06001,2016,9402
06001,2017,15486
06001,2018,12766
06001,2019,10558
06001,2020,7178
06001,2021,8940
06001,2022,8196
06001,2023,5680
06001,2024,2438
06003,2002,124
06003,2003,56
06003,2004,44
06003,2005,32
06003,2006,62
06003,2007,70
06003,2008,16
06003,2009,14
06003,2010,8
06003,2011,6
06003,2012,2
06003,2013,0
06003,2014,6
06003,2022,12
06003,2023,4
06003,2024,6
06005,2022,282
06005,2023,165
06005,2024,70
06007,2022,3378
06007,2023,1718
06007,2024,1266
06009,2001,NA
06009,2002,578
06009,2003,1054
06009,2004,1087
06009,2005,1724
06009,2006,955
06009,2007,541
06009,2008,230
06009,2009,114
06009,2010,82
06009,2011,48
06009,2012,51
06009,2013,86
06009,2014,125
06009,2022,186
06009,2023,128
06009,2024,93
06011,2022,91
06011,2023,35
06011,2024,94
06013,2000,7931
06013,2001,7859
06013,2002,10314
06013,2003,12751
06013,2004,10623
06013,2005,12205
06013,2006,8116
06013,2007,6591
06013,2008,3457
06013,2009,2315
06013,2010,2905
06013,2011,1563
06013,2012,4372
06013,2013,3733
06013,2014,3791
06013,2015,4626
06013,2016,5917
06013,2017,3740
06013,2018,5159
06013,2019,5146
06013,2020,5586
06013,2021,7475
06013,2022,3485
06013,2023,3948
06013,2024,3479
06015,2022,49
06015,2023,31
06015,2024,28
06017,2000,3006
06017,2001,4095
06017,2002,3690
06017,2003,3728
06017,2004,4073
06017,2005,3430
06017,2006,1976
06017,2007,1204
06017,2008,848
06017,2009,284
06017,2010,236
06017,2011,279
06017,2012,442
06017,2013,463
06017,2014,383
06017,2015,961
06017,2016,1517
06017,2017,1632
06017,2018,1114
06017,2019,1189
06017,2020,1234
06017,2021,1338
06017,2022,1198
06017,2023,1216
06017,2024,618
06019,2000,6072
06019,2001,7242
06019,2002,6945
06019,2003,10273
06019,2004,12952
06019,2015,3960
06019,2016,4837
06019,2017,5299
06019,2018,4635
06019,2019,5255
06019,2020,4484
06019,2021,4042
06019,2022,4668
06019,2023,6150
06019,2024,3674
06021,2022,104
06021,2023,119
06021,2024,83
06023,2022,553
06023,2023,354
06023,2024,239
06025,2003,871
06025,2004,2941
06025,2022,795
06025,2023,443
06025,2024,358
06027,2000,27
06027,2001,20
06027,2002,32
06027,2003,27
06027,2004,39
06027,2022,6
06027,2023,9
06027,2024,11
06029,2022,2873
06029,2023,2840
06029,2024,2469
06031,2022,844
06031,2023,1324
06031,2024,373
06033,2001,96
06033,2002,599
06033,2003,1052
06033,2004,1174
06033,2005,444
06033,2022,97
06033,2023,108
06033,2024,63
06035,2022,12
