fips,year,has_kitchen,complete_plumbing,debt_incurred,metro
01003,2005,0.9984251968503937,0.9929133858267717,0.6525505293551492,1
01003,2006,0.9993021632937893,0.9972086531751571,0.6695427092320967,1
01003,2007,0.9950389794472005,0.9992912827781715,0.6868770764119602,1
01003,2008,0.995711222301644,0.9971408148677627,0.68385460693153,1
01003,2009,0.9940867279894875,0.9967148488830486,0.6507018992568125,1
01003,2010,0.997254632807138,0.9993136582017845,0.6857654431512982,1
01003,2011,0.9904852521408183,0.9904852521408183,0.6563245823389021,1
01003,2012,0.9945098039215686,0.9992156862745099,0.6333333333333333,1
01003,2013,1,1,0.6450617283950617,1
01003,2014,0.9975206611570248,0.9991735537190083,0.618895966029724,1
01003,2015,0.9961627014581734,0.9976976208749041,0.6219630709426628,1
01003,2016,0.9953881629515757,0.9984627209838586,0.6105263157894737,1
01003,2017,0.9985601151907847,1,0.6145552560646901,1
01003,2018,0.9942675159235669,0.9961783439490446,0.632991318074191,1
01003,2019,0.9943302622253721,0.9957476966690291,0.5567703952901598,1
01003,2020,0.9981308411214953,0.9990654205607477,0.5855263157894737,1
01003,2021,0.9941634241245136,0.9980544747081712,0.5917252146760343,1
01003,2022,0.9962962962962963,1,0.5830285296269203,1
01015,2005,1,1,0.6263871763255241,1
01015,2006,0.9962859795728877,0.9962859795728877,0.6510480887792849,1
01015,2007,0.9981785063752276,1,0.6392479435957696,1
01015,2008,0.9954086317722681,0.9990817263544536,0.6440092165898618,1
01015,2009,0.9963996399639964,0.9972997299729973,0.6581691772885284,1
01015,2010,0.9981308411214953,0.9981308411214953,0.5773195876288659,1
01015,2011,0.9921104536489151,1,0.5726375176304654,1
01015,2012,0.9951456310679612,1,0.5668449197860963,1
01015,2013,0.9978494623655914,0.9989247311827957,0.5605187319884726,1
01015,2014,0.9939759036144579,1,0.5610079575596817,1
01015,2015,0.9937106918238994,0.9989517819706499,0.5450516986706057,1
01015,2016,0.9959432048681541,0.9969574036511156,0.5268361581920904,1
01015,2017,0.9979550102249489,1,0.5428571428571428,1
01015,2018,0.9947201689545935,1,0.5815602836879432,1
01015,2019,0.9923413566739606,0.9934354485776805,0.5918367346938775,1
01015,2020,0.9945504087193461,0.9931880108991825,0.5493716337522442,1
01015,2021,0.9916926272066459,0.995846313603323,0.494475138121547,1
01015,2022,0.9956140350877193,1,0.4776978417266187,1
01055,2005,0.9982698961937716,1,0.5806451612903226,1
01055,2006,0.9980879541108987,0.9980879541108987,0.5880923450789793,1
01055,2007,0.994759825327511,0.9991266375545852,0.6280353200883002,1
01055,2008,0.993439550140581,0.9953139643861293,0.5780346820809249,1
01055,2009,0.989786443825441,0.9972144846796658,0.588302752293578,1
01055,2010,0.9933712121212122,0.9933712121212122,0.5749385749385749,1
01055,2011,0.9871541501976284,0.991106719367589,0.5690537084398977,1
01055,2012,0.998911860718172,0.998911860718172,0.5841874084919473,1
01055,2013,0.9930761622156281,1,0.5101265822784811,1
01055,2014,0.992798353909465,0.9958847736625515,0.5488826815642458,1
01055,2015,0.9938900203665988,0.9989816700610998,0.5443708609271524,1
01055,2016,0.9989035087719298,1,0.5571227080394923,1
01055,2017,0.9943630214205186,0.9943630214205186,0.5051851851851852,1
01055,2018,0.9899295065458208,1,0.5580774365821095,1
01055,2019,0.9989669421487604,0.9989669421487604,0.5006587615283268,1
01055,2020,0.9986168741355463,1,0.5070175438596491,1
01055,2021,1,1,0.43342776203966005,1
01073,2005,0.9975795297372061,0.997060857538036,0.7152761728680379,1
01073,2006,0.9978899243889573,0.998417443291718,0.7135223048327137,1
01073,2007,0.9969088098918083,0.9972522754593852,0.7216240466576941,1
01073,2008,0.9961705831157528,0.9946040034812881,0.7106102003642987,1
01073,2009,0.9956536856745479,0.9958275382475661,0.7278734953976871,1
01073,2010,0.9922206506364922,0.9984087694483734,0.7175903614457831,1
01073,2011,0.994486018117369,0.9974399369830642,0.6770632072867789,1
01073,2012,0.9960392304790645,0.998868351565447,0.6635712390554523,1
01073,2013,0.9952214666421614,0.9963242051093549,0.6601428193599577,1
01073,2014,0.993191019506809,0.9976076555023924,0.6583355490561021,1
01073,2015,0.9959862385321101,0.9988532110091743,0.6705093833780161,1
01073,2016,0.9952981004325747,0.9947338724844837,0.6501850872554205,1
01073,2017,0.9970082273747195,0.9966342557965595,0.6551905387647832,1
01073,2018,0.9940073458341387,0.9976802629035376,0.6467914438502674,1
01073,2019,0.9957627118644068,0.9978813559322034,0.645447219983884,1
01073,2020,0.995366079703429,0.997451343836886,0.6083150984682714,1
01073,2021,0.9918560606060606,0.9967803030303031,0.5748316934230968,1
01081,2005,0.9976798143851509,0.9959396751740139,0.7289879931389366,1
01081,2006,0.9969306322897483,0.9975445058317987,0.7410636442894507,1
01081,2007,0.9964809384164223,0.9988269794721407,0.721496953872933,1
01081,2008,0.9942889777270132,0.9942889777270132,0.6974231088944306,1
01081,2009,0.9988452655889145,0.9994226327944573,0.7235099337748344,1
01081,2010,0.9918032786885246,0.9982435597189696,0.6669634906500446,1
01081,2011,0.9934569247546347,0.990185387131952,0.7372881355932204,1
01081,2012,0.9979013641133263,0.9989506820566632,0.6885758998435054,1
01081,2013,0.9939759036144579,0.9939759036144579,0.7173252279635258,1
01081,2014,0.999,1,0.6085626911314985,1
01081,2015,0.9981185324553151,0.9952963311382879,0.7084468664850136,1
01081,2016,0.9990049751243781,0.9990049751243781,0.6691394658753709,1
01081,2017,0.9951783992285439,0.9971070395371263,0.6680613668061367,1
01081,2018,0.984267453294002,1,0.6820728291316527,1
