year,sold_price_ind,date,mspus,msptfc,constr_price_ind,fmr_1,cpi,hpi,cpi_mspus,sold_corrected,cpi_sold,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,sold_2cor
1995,63.71,1995-01-01,130000,120500,67,323.19295843489937,150.5,180.8227450980392,863.7873754152824,2040.4959974886203,0.42332225913621263,1940.2985074626865,1891.382828441375,1798.5074626865671,4.823775499028349,2.838216058672723
1995,64.19,1995-04-01,133900,130000,67,323.19295843489937,151.8,183.92254901960786,882.0816864295125,2085.9947032248015,0.42285902503293804,1998.5074626865671,2025.2375759464092,1940.2985074626865,4.823775499028349,2.865283517987348
1995,64.68,1995-07-01,132000,124600,67.2,323.19295843489937,152.6,186.81588235294117,865.0065530799476,2040.816326530612,0.4238532110091744,1964.2857142857142,1926.4069264069262,1854.1666666666665,4.809419024328859,2.888309869402306
1995,63.6,1995-10-01,138000,130300,67.7,323.19295843489937,153.5,188.40156862745098,899.0228013029316,2169.811320754717,0.41433224755700326,2038.4047267355982,2048.7421383647797,1924.6676514032495,4.77389894290841,2.962288814897028
1996,65.93,1996-01-01,137000,147000,67.9,348.2239460913099,154.7,190.6627450980392,885.5850032320621,2077.9614742909143,0.426179702650291,2017.6730486008835,2229.637494312149,2164.9484536082473,5.128482269386008,2.891896634279375
1996,65.67,1996-04-01,139900,130000,67.7,348.2239460913099,156.1,190.7350980392157,896.2203715566944,2130.3487132632863,0.42069186418962207,2066.469719350074,1979.5949444190649,1920.2363367799112,5.143632881703248,2.9044479677054316
1996,67.11,1996-07-01,140000,135000,68.8,348.2239460913099,157,191.39549019607844,891.71974522293,2086.1272537624795,0.42745222929936305,2034.8837209302326,2011.6227089852482,1962.2093023255816,5.061394565280668,2.8519667738947763
1996,65.63,1996-10-01,144100,146400,69.2,348.2239460913099,158.2,192.87058823529412,910.8723135271808,2195.6422367819596,0.41485461441213656,2082.3699421965316,2230.68718573823,2115.606936416185,5.032137949296386,2.938756486900718
1997,66.6,1997-01-01,145000,138000,69.8,355.55739684273885,159.4,194.33254901960785,909.6612296110413,2177.1771771771773,0.4178168130489335,2077.3638968481378,2072.0720720720724,1977.0773638968483,5.093945513506288,2.917906141435554
1997,67.77,1997-04-01,145800,142000,70,355.55739684273885,159.9,195.64411764705883,911.8198874296435,2151.394422310757,0.42382739212007503,2082.8571428571427,2095.3224140475136,2028.5714285714287,5.079391383467698,2.886883837200219
1997,67.54,1997-07-01,145000,145900,70.6,355.55739684273885,160.4,198.1186274509804,903.9900249376558,2146.875925377554,0.42107231920199506,2053.8243626062326,2160.2013621557594,2066.5722379603403,5.036223751313582,2.9333524940920994
1997,67.1,1997-10-01,144200,143500,71.4,355.55739684273885,161.5,200.49058823529413,892.8792569659443,2149.0312965722806,0.4154798761609907,2019.6078431372548,2138.599105812221,2009.8039215686274,4.979795473987939,2.9879372315245027
1998,68.8,1998-01-01,152200,146000,71.6,364.2343147969144,162,203.3443137254902,939.5061728395061,2212.2093023255816,0.4246913580246913,2125.6983240223467,2122.093023255814,2039.1061452513968,5.0870714357110955,2.955585955312358
1998,68.21,1998-04-01,149500,140000,71.7,364.2343147969144,162.2,204.8164705882353,921.7016029593095,2191.7607388945903,0.42053020961775583,2085.076708507671,2052.484972877877,1952.5801952580196,5.0799764964702145,3.0027337720016907
1998,69.37,1998-07-01,153000,165000,72.7,364.2343147969144,163.2,207.2656862745098,937.5000000000001,2205.564364999279,0.42506127450980397,2104.539202200825,2378.5498053913793,2269.6011004126544,5.010100616188644,2.987828834863915
1998,70.1,1998-10-01,153000,144000,73,364.2343147969144,163.9,209.48823529411766,933.496034167175,2182.596291012839,0.4276998169615619,2095.890410958904,2054.208273894437,1972.6027397260275,4.989511161601567,2.9884199043383406
1999,71.12,1999-01-01,157400,148900,71.3,371.08032960718873,164.7,211.5356862745098,955.6769884638737,2213.160854893138,0.43181542197935646,2207.5736325385697,2093.644544431946,2088.35904628331,5.204492701363096,2.9743487946359646
1999,72.7,1999-04-01,158700,153500,72,371.08032960718873,165.9,214.1564705882353,956.6003616636527,2182.943603851444,0.4382157926461724,2204.1666666666665,2111.416781292985,2131.9444444444443,5.15389346676651,2.9457561291366616
1999,73.04,1999-07-01,159100,168400,73,371.08032960718873,166.7,216.89529411764707,954.4091181763648,2178.258488499452,0.4381523695260949,2179.4520547945203,2305.5859802847754,2306.849315068493,5.083292186399846,2.9695412666709617
1999,72.98,1999-10-01,165300,168000,73.4,371.08032960718873,168.1,218.78823529411764,983.3432480666271,2265.0041107152642,0.4341463414634147,2252.043596730245,2302.0005480953687,2288.828337874659,5.055590321623824,2.9979204616897457
2000,74.31,2000-01-01,165300,159800,74.7,374.8471673310349,169.3,222.7913725490196,976.37330183106906,2224.465078724263,0.43892498523331364,2212.85140562249,2150.4508141569104,2139.2235609103077,5.018034368554684,2.998134471121243
2000,74.53,2000-04-01,163200,150700,75.3,374.8471673310349,170.9,226.28666666666666,954.9444119368051,2189.7222594928216,0.4361029842012873,2167.330677290837,2022.0045619213738,2001.32802124834,4.978050030956639,3.0361822979560804
2000,75.79,2000-07-01,168800,157200,76,374.8471673310349,172.7,230.30960784313726,977.4174869716271,2227.206755508642,0.43885350318471344,2221.0526315789475,2074.152262831508,2068.4210526315787,4.932199570145196,3.0387862230259564
2000,76.21,2000-10-01,172900,183100,76.5,374.8471673310349,173.9,233.64274509803923,994.2495687176538,2268.7311376459784,0.438240368027602,2260.1307189542486,2402.571840965753,2393.4640522875816,4.899962971647515,3.0657754244592472
2001,76.85,2001-01-01,169800,172500,77.7,367.5320007993165,175.6,239.18960784313725,966.9703872437358,2209.4990240728694,0.43764236902050113,2185.328185328185,2244.632400780742,2220.07722007722,4.730141580428784,3.1124217025782337
2001,77.32,2001-04-01,179000,184700,78.6,367.5320007993165,176.4,243.25882352941176,1014.7392290249433,2315.054319710295,0.43832199546485257,2277.35368956743,2388.7739265390587,2349.8727735368957,4.6759796539353244,3.1461306716168105
2001,78.15,2001-07-01,172500,157800,80,367.5320007993165,177.4,247.4350980392157,972.3788049605412,2207.293666026871,0.44052987598647125,2156.25,2019.193857965451,1972.5,4.5941500099914565,3.166156084954775
2001,79.09,2001-10-01,171100,172400,81.5,367.5320007993165,177.6,250.55705882352942,963.400900900901,2163.3581995195345,0.4453265765765766,2099.3865030674847,2179.795170059426,2115.3374233128834,4.5095951018321045,3.167999226495504
2002,80.91,2002-01-01,188700,181100,80.6,381.47182133905574,177.7,254.47294117647058,1061.9020821609454,2332.2209862810532,0.4553179516038267,2341.1910669975186,2238.2894574218267,2246.8982630272953,4.732901009169426,3.1451358444749795
2002,81.28,2002-04-01,187200,190700,81.4,381.47182133905574,179.3,259.14960784313723,1044.0602342442833,2303.149606299213,0.45331846068042386,2299.7542997542996,2346.2106299212596,2342.7518427518426,4.686386011536311,3.1883563957078893
2002,80.6,2002-07-01,178100,198700,81.7,381.47182133905574,180,264.4978431372549,989.4444444444445,2209.677419354839,0.4477777777777777,2179.9265605875153,2465.260545905707,2432.068543451652,4.669177739768124,3.2816109570379024
