State,Year,Quarter,HPI
WI,2014,2,293.37
WI,2014,3,296.62
WI,2014,4,298.08
WI,2015,1,300.10
WI,2015,2,303.08
WI,2015,3,305.63
WI,2015,4,307.48
WI,2016,1,310.14
WI,2016,2,314.53
WI,2016,3,318.87
WI,2016,4,320.98
WI,2017,1,323.88
WI,2017,2,331.64
WI,2017,3,335.74
WI,2017,4,336.22
WI,2018,1,340.97
WI,2018,2,349.49
WI,2018,3,353.88
WI,2018,4,355.10
WI,2019,1,358.73
WI,2019,2,365.32
WI,2019,3,369.98
WI,2019,4,372.38
WI,2020,1,375.40
WI,2020,2,378.15
WI,2020,3,385.40
WI,2020,4,393.23
WI,2021,1,398.77
WI,2021,2,420.29
WI,2021,3,441.26
WI,2021,4,451.07
WI,2022,1,463.10
WI,2022,2,497.74
WI,2022,3,507.96
WI,2022,4,506.55
WI,2023,1,511.41
WI,2023,2,537.89
WI,2023,3,553.50
WI,2023,4,551.03
WI,2024,1,559.28
WI,2024,2,578.85
WV,1975,1,50.32
WV,1975,2,64.68
WV,1975,3,65.76
WV,1975,4,65.85
WV,1976,1,61.29
WV,1976,2,67.48
WV,1976,3,69.46
WV,1976,4,63.31
WV,1977,1,70.25
WV,1977,2,84.88
WV,1977,3,73.26
WV,1977,4,85.37
WV,1978,1,79.48
WV,1978,2,80.00
WV,1978,3,82.25
WV,1978,4,84.98
WV,1979,1,80.07
WV,1979,2,88.28
WV,1979,3,88.80
WV,1979,4,94.63
WV,1980,1,100.00
WV,1980,2,103.81
WV,1980,3,102.82
WV,1980,4,116.54
WV,1981,1,98.52
WV,1981,2,94.75
WV,1981,3,109.34
WV,1981,4,107.86
WV,1982,1,68.32
WV,1982,2,113.54
WV,1982,3,83.58
WV,1982,4,86.36
WV,1983,1,97.88
WV,1983,2,91.59
WV,1983,3,92.95
WV,1983,4,91.69
WV,1984,1,97.59
WV,1984,2,92.98
WV,1984,3,93.94
WV,1984,4,86.89
WV,1985,1,91.82
WV,1985,2,95.26
WV,1985,3,92.33
WV,1985,4,88.23
WV,1986,1,95.23
WV,1986,2,96.21
WV,1986,3,95.51
WV,1986,4,98.10
WV,1987,1,96.75
WV,1987,2,98.67
WV,1987,3,95.23
WV,1987,4,96.71
WV,1988,1,96.20
WV,1988,2,99.66
WV,1988,3,98.67
WV,1988,4,97.72
WV,1989,1,98.55
WV,1989,2,101.01
WV,1989,3,100.93
WV,1989,4,100.90
WV,1990,1,101.88
WV,1990,2,101.43
WV,1990,3,104.56
WV,1990,4,103.19
WV,1991,1,103.68
WV,1991,2,106.98
WV,1991,3,105.87
WV,1991,4,108.78
WV,1992,1,109.04
WV,1992,2,110.86
WV,1992,3,112.28
WV,1992,4,113.46
WV,1993,1,114.45
WV,1993,2,115.82
WV,1993,3,118.44
WV,1993,4,118.69
WV,1994,1,121.23
WV,1994,2,122.68
WV,1994,3,124.26
WV,1994,4,124.09
WV,1995,1,125.57
WV,1995,2,127.98
WV,1995,3,130.50
WV,1995,4,130.72
WV,1996,1,132.77
WV,1996,2,133.38
WV,1996,3,133.86
WV,1996,4,133.95
WV,1997,1,134.73
WV,1997,2,137.34
WV,1997,3,137.61
WV,1997,4,139.60
WV,1998,1,142.62
WV,1998,2,142.73
WV,1998,3,144.61
WV,1998,4,146.27
WV,1999,1,146.88
WV,1999,2,146.51
WV,1999,3,147.14
WV,1999,4,146.00
WV,2000,1,147.13
WV,2000,2,148.27
WV,2000,3,149.55
WV,2000,4,150.80
WV,2001,1,155.11
WV,2001,2,156.67
WV,2001,3,157.45
WV,2001,4,158.88
WV,2002,1,159.85
WV,2002,2,161.66
WV,2002,3,163.00
WV,2002,4,165.38
WV,2003,1,165.80
WV,2003,2,167.53
WV,2003,3,169.89
WV,2003,4,171.54
WV,2004,1,174.17
WV,2004,2,177.46
WV,2004,3,181.13
WV,2004,4,184.25
WV,2005,1,188.30
WV,2005,2,194.31
WV,2005,3,200.97
WV,2005,4,204.00
WV,2006,1,208.12
WV,2006,2,206.11
WV,2006,3,208.47
WV,2006,4,210.98
WV,2007,1,212.40
WV,2007,2,211.88
WV,2007,3,212.15
WV,2007,4,213.94
WV,2008,1,214.13
WV,2008,2,213.72
WV,2008,3,210.49
WV,2008,4,208.23
WV,2009,1,211.68
WV,2009,2,208.96
WV,2009,3,204.96
WV,2009,4,203.86
WV,2010,1,203.99
WV,2010,2,203.66
WV,2010,3,204.82
WV,2010,4,206.34
WV,2011,1,201.97
WV,2011,2,198.77
WV,2011,3,202.12
WV,2011,4,203.04
WV,2012,1,201.55
WV,2012,2,201.96
WV,2012,3,203.16
WV,2012,4,203.78
WV,2013,1,203.33
WV,2013,2,204.40
WV,2013,3,206.30
WV,2013,4,208.13
WV,2014,1,207.47
WV,2014,2,209.05
WV,2014,3,211.02
WV,2014,4,211.39
WV,2015,1,210.95
WV,2015,2,216.20
WV,2015,3,214.67
WV,2015,4,216.26
WV,2016,1,217.18
WV,2016,2,218.20
WV,2016,3,219.09
WV,2016,4,220.19
WV,2017,1,217.68
WV,2017,2,219.74
WV,2017,3,220.88
WV,2017,4,224.46
WV,2018,1,223.61
WV,2018,2,227.16
WV,2018,3,226.55
WV,2018,4,226.23
WV,2019,1,226.80
WV,2019,2,230.19
WV,2019,3,232.63
WV,2019,4,235.17
WV,2020,1,236.07
WV,2020,2,238.62
WV,2020,3,243.03
WV,2020,4,246.08
WV,2021,1,250.60
WV,2021,2,257.11
WV,2021,3,270.60
WV,2021,4,277.82
WV,2022,1,281.61
WV,2022,2,294.59
WV,2022,3,299.99
WV,2022,4,300.41
WV,2023,1,302.96
WV,2023,2,302.84
WV,2023,3,318.15
WV,2023,4,326.57
WV,2024,1,320.97
WV,2024,2,334.19
WY,1975,1,49.60
WY,1975,2,47.92
WY,1975,3,50.15
WY,1975,4,53.55
WY,1976,1,54.42
WY,1976,2,55.35
WY,1976,3,58.45
WY,1976,4,63.09
WY,1977,1,63.42
WY,1977,2,64.68
WY,1977,3,67.27
WY,1977,4,71.45
WY,1978,1,73.04
WY,1978,2,76.61
WY,1978,3,78.76
WY,1978,4,82.23
WY,1979,1,87.39
WY,1979,2,92.26
WY,1979,3,97.25
WY,1979,4,96.54
WY,1980,1,100.00
WY,1980,2,97.61
WY,1980,3,101.29
WY,1980,4,94.88
WY,1981,1,106.80
WY,1981,2,109.48
WY,1981,3,109.51
WY,1981,4,109.38
WY,1982,1,110.45
WY,1982,2,107.90
WY,1982,3,108.97
WY,1982,4,112.55
WY,1983,1,110.66
WY,1983,2,105.85
WY,1983,3,103.07
WY,1983,4,98.78
WY,1984,1,100.01
WY,1984,2,95.62
WY,1984,3,98.31
WY,1984,4,95.62
WY,1985,1,97.09
WY,1985,2,95.18
WY,1985,3,93.87
WY,1985,4,94.11
WY,1986,1,97.27
WY,1986,2,97.64
WY,1986,3,94.65
WY,1986,4,90.53
WY,1987,1,92.91
WY,1987,2,87.62
WY,1987,3,82.84
WY,1987,4,78.83
WY,1988,1,81.08
WY,1988,2,76.30
WY,1988,3,80.99
WY,1988,4,81.13
WY,1989,1,76.85
WY,1989,2,83.60
WY,1989,3,83.25
WY,1989,4,83.30
WY,1990,1,87.77
WY,1990,2,85.39
WY,1990,3,91.08
WY,1990,4,89.29
WY,1991,1,89.88
WY,1991,2,93.27
WY,1991,3,94.66
WY,1991,4,95.45
WY,1992,1,96.62
WY,1992,2,98.06
WY,1992,3,99.82
WY,1992,4,102.13
WY,1993,1,102.60
WY,1993,2,105.64
WY,1993,3,108.44
WY,1993,4,111.01
WY,1994,1,113.58
WY,1994,2,116.48
WY,1994,3,120.02
WY,1994,4,121.66
WY,1995,1,123.46
WY,1995,2,126.11
WY,1995,3,127.63
WY,1995,4,130.47
WY,1996,1,131.97
WY,1996,2,132.95
WY,1996,3,134.17
WY,1996,4,134.23
WY,1997,1,135.14
WY,1997,2,136.68
WY,1997,3,137.94
WY,1997,4,139.91
WY,1998,1,141.89
WY,1998,2,141.76
WY,1998,3,142.62
WY,1998,4,142.91
WY,1999,1,143.81
WY,1999,2,145.84
WY,1999,3,147.32
WY,1999,4,147.82
WY,2000,1,149.84
WY,2000,2,151.36
WY,2000,3,152.91
WY,2000,4,156.24
WY,2001,1,157.33
WY,2001,2,160.32
WY,2001,3,162.75
WY,2001,4,164.82
WY,2002,1,167.97
WY,2002,2,170.29
WY,2002,3,173.37
WY,2002,4,175.08
WY,2003,1,177.16
WY,2003,2,181.12
WY,2003,3,183.59
WY,2003,4,187.15
WY,2004,1,190.79
WY,2004,2,195.82
WY,2004,3,203.16
WY,2004,4,206.95
WY,2005,1,211.41
WY,2005,2,218.08
WY,2005,3,225.95
WY,2005,4,232.06
WY,2006,1,238.72
WY,2006,2,246.46
WY,2006,3,254.14
WY,2006,4,260.90
WY,2007,1,267.08
WY,2007,2,274.30
WY,2007,3,277.96
WY,2007,4,279.39
WY,2008,1,280.92
WY,2008,2,281.67
WY,2008,3,279.77
WY,2008,4,279.52
WY,2009,1,279.58
WY,2009,2,279.27
WY,2009,3,272.56
WY,2009,4,270.41
WY,2010,1,265.82
WY,2010,2,267.22
WY,2010,3,266.93
WY,2010,4,267.10
WY,2011,1,263.44
WY,2011,2,260.36
WY,2011,3,263.87
WY,2011,4,263.94
WY,2012,1,264.40
WY,2012,2,265.04
WY,2012,3,267.14
WY,2012,4,269.24
WY,2013,1,270.46
WY,2013,2,272.85
WY,2013,3,272.93
WY,2013,4,273.56
WY,2014,1,277.21
WY,2014,2,278.52
WY,2014,3,282.78
WY,2014,4,284.77
WY,2015,1,286.79
WY,2015,2,287.89
WY,2015,3,294.50
WY,2015,4,293.89
WY,2016,1,293.54
WY,2016,2,296.40
WY,2016,3,298.53
WY,2016,4,298.20
WY,2017,1,297.12
WY,2017,2,300.16
WY,2017,3,301.29
WY,2017,4,304.37
WY,2018,1,309.20
WY,2018,2,308.08
WY,2018,3,312.92
WY,2018,4,315.29
WY,2019,1,314.33
WY,2019,2,323.44
WY,2019,3,327.69
WY,2019,4,332.18
WY,2020,1,335.14
WY,2020,2,337.02
WY,2020,3,341.83
WY,2020,4,349.49
WY,2021,1,354.94
WY,2021,2,369.03
WY,2021,3,392.01
WY,2021,4,405.51
WY,2022,1,415.82
WY,2022,2,439.24
WY,2022,3,449.62
WY,2022,4,448.54
WY,2023,1,448.23
WY,2023,2,455.69
WY,2023,3,470.94
WY,2023,4,462.72
WY,2024,1,471.11
WY,2024,2,484.89
